journal,article_number,date,sentence,context_span
CNN,1,May24,"A suspect is in custody after a shooting incident at Robb Elementary School in Uvalde, Texas, left at least two dead and injured 14 people, including students, authorities said.","A suspect is in custody after a shooting incident at Robb Elementary School in Uvalde, Texas, left at least two dead and injured 14 people, including students, authorities said. The Uvalde Consolidated Independent School District (UCISD) posted about an ""active shooter"" at Robb Elementary at 12:17 p.m. local time and said law enforcement was on site."
CNN,1,May24,"The hospital received 13 children at their facility who were being treated for varying injuries, he said.","Two have died after the shooting at Robb Elementary School, a spokesperson from Uvalde Memorial Hospital told CNN. The hospital received 13 children at their facility who were being treated for varying injuries, he said. Two children were transported to San Antonio and another is pending transfer, Tom Nordwick said."
CNN,2,May24,"A suspect is in custody after a shooting at an elementary school in Uvalde, Texas, left at least two dead and injured more than a dozen others, including students, authorities said.","A suspect is in custody after a shooting at an elementary school in Uvalde, Texas, left at least two dead and injured more than a dozen others, including students, authorities said. The Uvalde Consolidated Independent School District (UCISD) said there was an ""active shooter"" at Robb Elementary School at 12:17 p.m. Tuesday local time and said law enforcement was on site."
CNN,2,May24,"Two people died in the school shooting, and the hospital received 13 children who were being treated for various injuries, said Tom Nordwick, a spokesperson from Uvalde Memorial Hospital.","The suspect was taken into custody, according to the Uvalde Police Department. Two people died in the school shooting, and the hospital received 13 children who were being treated for various injuries, said Tom Nordwick, a spokesperson from Uvalde Memorial Hospital. Two children were transported to San Antonio and another is pending transfer, he said."
CNN,3,May24,"An 18-year-old man opened fire at an elementary school in Uvalde, Texas, on Tuesday, killing 14 students and a teacher, Gov. Greg Abbott said.","An 18-year-old man opened fire at an elementary school in Uvalde, Texas, on Tuesday, killing 14 students and a teacher, Gov. Greg Abbott said. The gunman is also dead, he said."
CNN,3,May24,"The gunman is also dead, he said.","An 18-year-old man opened fire at an elementary school in Uvalde, Texas, on Tuesday, killing 14 students and a teacher, Gov. Greg Abbott said. The gunman is also dead, he said. The Uvalde Consolidated Independent School District (UCISD) said there was an ""active shooter"" at Robb Elementary School at 12:17 p.m. Tuesday local time and said law enforcement was on site."
CNN,3,May24,Uvalde Memorial Hospital spokesperson Tom Nordwick earlier said that two people died in the school shooting and that 13 children and a man in his 40 s were being treated for injuries.,"The suspect was taken into custody, according to the Uvalde Police Department. Uvalde Memorial Hospital spokesperson Tom Nordwick earlier said that two people died in the school shooting and that 13 children and a man in his 40 s were being treated for injuries. University Hospital in San Antonio said in a tweet that they received a child and an adult from the school shooting."
CNN,3,May24,University Hospital in San Antonio said in a tweet that they received a child and an adult from the school shooting.,"Uvalde Memorial Hospital spokesperson Tom Nordwick earlier said that two people died in the school shooting and that 13 children and a man in his 40 s were being treated for injuries. University Hospital in San Antonio said in a tweet that they received a child and an adult from the school shooting. The adult, a 66-year-old woman, is in critical condition, the hospital said in a tweet."
CNN,4,May24,"Eighteen children and one adult were killed in Tuesday's mass shooting in Uvalde, Texas, according to Sgt.","Eighteen children and one adult were killed in Tuesday's mass shooting in Uvalde, Texas, according to Sgt. Erick Estrada of the Texas Department of Public Safety."
CNN,4,May24,"Gov. Greg Abbott said earlier Tuesday ""it is believed"" that the shooter, 18-year-old Salvador Ramos, was killed by law enforcement.","Estrada did not provide any other information on the victims. Gov. Greg Abbott said earlier Tuesday ""it is believed"" that the shooter, 18-year-old Salvador Ramos, was killed by law enforcement. Estrada confirmed the suspect was killed."
CNN,4,May24,Estrada confirmed the suspect was killed.,"Gov. Greg Abbott said earlier Tuesday ""it is believed"" that the shooter, 18-year-old Salvador Ramos, was killed by law enforcement. Estrada confirmed the suspect was killed. Ramos is believed to have shot his grandmother before going to the school, three law enforcement sources told CNN."
CNN,4,May24,"Two days before the start of summer break, an 18-year-old man opened fire at an elementary school in Uvalde, Texas, on Tuesday, killing 14 students and one teacher, Gov. Greg Abbott said.","Ramos is believed to have shot his grandmother before going to the school, three law enforcement sources told CNN. Two days before the start of summer break, an 18-year-old man opened fire at an elementary school in Uvalde, Texas, on Tuesday, killing 14 students and one teacher, Gov. Greg Abbott said."
CNN,5,May24,"An 18-year-old gunman on Tuesday fatally shot 18 children and an adult at a Texas elementary school before he was killed by law enforcement officers, officials said.","An 18-year-old gunman on Tuesday fatally shot 18 children and an adult at a Texas elementary school before he was killed by law enforcement officers, officials said. The shooter -- identified by Texas officials as Salvador Ramos, of Uvalde -- also shot his grandmother before going to the school, three law enforcement sources told CNN."
CNN,5,May24,"The shooting was the deadliest at an elementary school since the Sandy Hook massacre in Connecticut in 2012 that left 26 people dead, including 20 children between 6 and 7 years old.","The gunman is believed to have acted alone, Uvalde Consolidated Independent School District Police Chief Pete Arredondo said. The shooting was the deadliest at an elementary school since the Sandy Hook massacre in Connecticut in 2012 that left 26 people dead, including 20 children between 6 and 7 years old. Here are the latest developments in Tuesday's tragedy:"
CNN,6,May25,"Just two days before students in a Texas elementary school were set to begin their summer break, a gunman clad in body armor rushed his way into the school and opened fire on classrooms of young children, killing 19 students and two adults, officials said.","Just two days before students in a Texas elementary school were set to begin their summer break, a gunman clad in body armor rushed his way into the school and opened fire on classrooms of young children, killing 19 students and two adults, officials said. The violent act shook a nation already reeling from another mass shooting across the country just 10 days ago."
CNN,6,May25,"The 18-year-old gunman, who was killed by law enforcement, is believed to have shot his grandmother before driving to the school to carry out to attack, according to the Texas Department of Public Safety.","Parents waited late into the night at a nearby civic center to learn whether their children had survived, with some telling CNN they had to give DNA samples to assist authorities in identifying children. The 18-year-old gunman, who was killed by law enforcement, is believed to have shot his grandmother before driving to the school to carry out to attack, according to the Texas Department of Public Safety. As he tried to enter the school, he was engaged by school district police officers, but was still able to enter the building and go into multiple classrooms, DPS Sgt."
